Ts,I,SD,Success,Type
9.843510384287415,12,3426.8518907894945,1,Fixed
27.89182139541747,16,3499.572959077952,1,RL
11.07890612539617,14,3303.570293728226,1,Fixed
12.273894351964243,17,3308.1723019359697,1,RL
11.263644107050462,9,2858.0183196070175,1,Fixed
12.644503616146677,15,3062.922501576563,1,RL
9.006521511238413,10,3253.5237796520582,1,Fixed
9.818457979886732,12,3416.285732893523,1,RL
11.33006014997884,13,3455.0939283653033,1,Fixed
9.386628219566422,15,3844.730513461651,1,RL
13.96924236783315,12,3512.4633544899684,1,Fixed
16.527982139602017,16,3981.1191617326026,1,RL
10.862418922034873,13,3104.301517753344,1,Fixed
20.36285227364257,15,4541.852524436015,1,RL
10.632215287275198,13,2886.19369288268,1,Fixed
12.313288737684243,11,3574.189408451874,1,RL
11.476626937937962,14,3295.385059272148,1,Fixed
21.712060365527616,17,3318.423619878291,1,RL
18.19974771086114,14,3346.675609277346,1,Fixed
17.364439930428986,10,3151.585135045322,1,RL
26.622078355184563,13,2994.582024762417,1,Fixed
19.027787292856367,11,3220.648495181173,1,RL
20.955213022202635,16,4214.34054473804,1,Fixed
16.094786960178098,16,3717.127147746461,1,RL
12.26616319660631,14,3543.9051696342794,1,Fixed
10.452070638440455,15,4159.806494369999,1,RL
12.718649796607455,12,3161.468677217967,1,Fixed
16.964850491286306,10,3062.452068829999,1,RL
12.47920783298478,14,3119.873388862267,1,Fixed
17.38538344574868,16,4609.26263650143,1,RL
13.614970396035272,12,3546.4681081761205,1,Fixed
9.431850381149419,15,3076.8074912311445,1,RL
17.315788131348185,14,3351.491713771774,1,Fixed
18.69122237631528,13,3511.18567241007,1,RL
11.693261267520727,13,3311.4818787902577,1,Fixed
14.113153848438063,13,2387.157109865975,1,RL
8.078478318090982,16,3654.7941460138895,1,Fixed
12.04460832846381,15,5135.025855223522,1,RL
19.70713208836357,16,3623.1054979247137,1,Fixed
14.070030484333103,13,4461.671538946568,1,RL
8.748255235277828,12,3371.698408234304,1,Fixed
11.30668334965279,13,4511.547431202812,1,RL
12.25060190712487,15,3122.2238489730316,1,Fixed
30.77899576995272,15,3401.0868420121465,1,RL
11.131835795276547,11,3073.4186947370854,1,Fixed
