source_id,source_x,source_y,run,Ts,I,SD,Success,Type
1,72.02679239473956,68.72830044131277,0,16.07592021943495,12,3233.3145313603795,1,Fixed
1,72.02679239473956,68.72830044131277,0,8.664285304191406,13,3102.4960884885068,1,RL
1,72.02679239473956,68.72830044131277,1,15.333355221836573,14,2871.5352015213425,1,Fixed
1,72.02679239473956,68.72830044131277,1,13.721911482445785,14,3079.167556780168,1,RL
1,72.02679239473956,68.72830044131277,2,11.392651213657638,14,2841.774825120776,1,Fixed
1,72.02679239473956,68.72830044131277,2,13.785989345957097,12,2877.219678699475,1,RL
1,72.02679239473956,68.72830044131277,3,16.686229782943137,13,3014.551201689232,1,Fixed
1,72.02679239473956,68.72830044131277,3,13.443807871162168,16,3983.800745036898,1,RL
1,72.02679239473956,68.72830044131277,4,7.037875886217776,10,2754.754912022867,1,Fixed
1,72.02679239473956,68.72830044131277,4,4.9343280936360525,12,3005.6676520849906,1,RL
1,72.02679239473956,68.72830044131277,5,12.956358155627726,11,2773.8120703909976,1,Fixed
1,72.02679239473956,68.72830044131277,5,8.292750952361848,13,2387.296108196917,1,RL
1,72.02679239473956,68.72830044131277,6,9.929580401223985,13,3109.1620068043203,1,Fixed
1,72.02679239473956,68.72830044131277,6,6.765971345967955,10,2535.7350307864376,1,RL
1,72.02679239473956,68.72830044131277,7,5.949457120857543,13,2757.0256945153533,1,Fixed
1,72.02679239473956,68.72830044131277,7,14.19244687191907,10,2905.463354571282,1,RL
1,72.02679239473956,68.72830044131277,8,12.282641821301134,13,2685.2617783097926,1,Fixed
1,72.02679239473956,68.72830044131277,8,5.770922639339483,9,2616.8911122477757,1,RL
1,72.02679239473956,68.72830044131277,9,10.459428755100912,12,2805.996189026806,1,Fixed
1,72.02679239473956,68.72830044131277,9,19.43724115946099,14,2934.284896166914,1,RL
1,72.02679239473956,68.72830044131277,10,18.668053763760035,13,3320.6053968674996,1,Fixed
1,72.02679239473956,68.72830044131277,10,14.515066136497165,16,4129.906000883381,1,RL
1,72.02679239473956,68.72830044131277,11,5.800583887524234,14,2976.145976724335,1,Fixed
1,72.02679239473956,68.72830044131277,11,10.630762290109248,13,3160.8325281412463,1,RL
1,72.02679239473956,68.72830044131277,12,9.33649818080102,13,2424.48527805612,1,Fixed
1,72.02679239473956,68.72830044131277,12,15.06923617554503,15,2880.4904516859688,1,RL
1,72.02679239473956,68.72830044131277,13,4.674574621027948,11,3275.1950203725573,1,Fixed
1,72.02679239473956,68.72830044131277,13,11.588766319793088,11,3005.9584342286835,1,RL
