n_particles,run,Ts,I,SD,Success,Type
5,0,10.828441391756893,27,900.5673345039031,1,Fixed
5,0,11.314270286865835,25,565.7135143432918,1,RL
5,1,14.209141837378132,17,886.9606977288731,1,Fixed
5,1,24.704179517755897,26,1318.8502688193148,1,RL
5,2,12.3022347511064,14,690.3915158336117,1,Fixed
5,2,20.7917612256068,33,1170.1456705049432,1,RL
5,3,18.760401804004186,19,818.8473656677392,1,Fixed
5,3,24.262412383817313,30,1245.5646301385511,1,RL
5,4,11.036210024116587,18,794.0410294815911,1,Fixed
5,4,15.80772623618207,22,790.3863118091033,1,RL
5,5,14.897517228334005,21,956.9944760606435,1,Fixed
5,5,24.17330323939388,24,1297.6112455694129,1,RL
5,6,15.52711366451469,27,751.0813949367268,1,Fixed
5,6,19.675765248070505,37,1019.7841704535076,1,RL
5,7,9.211592985463247,16,811.5458950699135,1,Fixed
5,7,22.93030597288693,22,1200.7805033089226,1,RL
5,8,23.561095498218215,15,939.5120891448344,1,Fixed
5,8,23.554985409473357,21,1180.752892726177,1,RL
5,9,14.737042174839422,18,827.8172134121565,1,Fixed
5,9,22.29338744186222,25,1134.4306004717596,1,RL
5,10,10.454865285510667,18,856.7676412824778,1,Fixed
5,10,15.649154417513877,24,822.6223961937822,1,RL
5,11,10.516209851937278,18,518.0520122766943,1,Fixed
5,11,24.76139426535846,28,1254.2147191784636,1,RL
5,12,13.741162704111861,19,792.6578189879068,1,Fixed
5,12,23.389143853346525,29,1199.9976929088996,1,RL
5,13,7.65231073458164,18,670.7983287730788,1,Fixed
5,13,19.51285292994489,15,976.1296676367965,1,RL
5,14,19.127146781370804,14,624.7532697404715,1,Fixed
5,14,14.827144751005198,28,751.0440770715578,1,RL
5,15,11.804796746673217,21,940.7444120835931,1,Fixed
5,15,21.800990980286727,21,1188.1553716233493,1,RL
5,16,16.865011191162665,19,830.4674388821524,1,Fixed
5,16,23.829890196905556,39,1194.7187544240987,1,RL
5,17,74.53987151597485,400,745.3987151597485,0,Fixed
5,17,20.79089577926143,21,1078.5523253682231,1,RL
5,18,76.43608712351599,400,764.36087123516,0,Fixed
5,18,16.650362336966683,400,930.8988344151106,0,RL
5,19,15.065203871168734,19,743.8338827335962,1,Fixed
5,19,19.03640682483429,24,1007.8656303927175,1,RL
5,20,15.679851641766069,26,781.0960934881039,1,Fixed
5,20,14.838893017925592,25,768.7491668612546,1,RL
5,21,16.607040341420962,22,675.282512377287,1,Fixed
5,21,43.662669063450515,38,2218.5257503009757,1,RL
5,22,12.63249971342882,20,838.9660149210567,1,Fixed
5,22,18.43260913894388,9,961.3289511340778,1,RL
5,23,85.32095176356093,400,853.2095176356092,0,Fixed
5,23,16.058933596032595,27,805.7609759187653,1,RL
5,24,84.16553880591884,400,841.6553880591885,0,Fixed
5,24,24.150507210000676,31,1213.515774263231,1,RL
5,25,23.11123776161353,19,785.8626598427563,1,Fixed
5,25,22.967344156109988,26,1172.4003304921948,1,RL
5,26,33.519979843954886,27,943.5598201462348,1,Fixed
5,26,18.22401016775435,22,941.5914375694766,1,RL
5,27,18.58512468498924,19,714.7494261064301,1,Fixed
5,27,14.223218175489718,400,968.336885738367,0,RL
5,28,31.82113546920087,25,894.9284661371862,1,Fixed
5,28,18.969671270120926,70,950.3254391322325,1,RL
5,29,23.01124236920756,21,817.9280525428964,1,Fixed
5,29,27.69791079245788,26,1390.7867579323317,1,RL
5,30,92.4506881207902,400,924.506881207902,0,Fixed
5,30,6.678681783086216,400,443.9878868086539,0,RL
5,31,10.803844268735713,20,854.9047059845203,1,Fixed
5,31,14.023081034895426,18,704.7848684805076,1,RL
5,32,120.82022236977903,400,1208.2022236977903,0,Fixed
5,32,31.149761812991816,35,1566.4798140218256,1,RL
5,33,16.091355688348365,18,792.4493591334503,1,Fixed
5,33,19.906589547922408,21,995.3294773961204,1,RL
5,34,20.77681159173742,17,809.4199922474968,1,Fixed
5,34,19.50127103480556,15,1016.5850991800112,1,RL
5,35,12.348522487517064,19,836.1508831732269,1,Fixed
5,35,24.382142562729957,25,1220.368334876934,1,RL
5,36,18.834076511239115,22,876.0655785305859,1,Fixed
5,36,19.210525666007253,26,962.7066238089493,1,RL
5,37,25.48366519085682,20,718.9745024724103,1,Fixed
5,37,19.864535543673078,24,993.2267771836542,1,RL
5,38,74.45343359458802,400,744.5343359458802,0,Fixed
5,38,4.378971349114151,400,218.94856745570766,0,RL
5,39,68.95156697955427,400,689.5156697955427,0,Fixed
5,39,20.136332369809583,24,1015.7704877803297,1,RL
5,40,13.03500259746794,22,886.1400262957217,1,Fixed
5,40,30.468605746199813,79,1588.1045409638946,1,RL
5,41,11.071420509974391,18,692.3424407328894,1,Fixed
5,41,24.318184539015586,27,1283.1012333955625,1,RL
5,42,14.684010379785283,17,919.8459006150138,1,Fixed
5,42,20.071330707964268,20,1016.8698039493806,1,RL
5,43,58.409390547738255,400,584.0939054773826,0,Fixed
5,43,19.51503807833912,27,975.8849272685252,1,RL
