swarm_size,spso_mean_time,spso_std_time,rl_spso_mean_time,rl_spso_std_time,spso_mean_iters,spso_std_iters,rl_spso_mean_iters,rl_spso_std_iters,spso_mean_swarm_dist,spso_std_swarm_dist,rl_spso_mean_swarm_dist,rl_spso_std_swarm_dist
5,139.0,80.48685192833257,142.42105263157896,85.29175099651319,139.125,80.43703541694377,143.02631578947367,85.36170634648812,6934.375,4026.7455324782236,7128.1578947368425,4267.313133553812
6,121.75,73.8304423021176,143.46511627906978,86.19119080973672,122.1,73.76984122040803,143.86046511627907,86.281814393397,7296.5,4426.608866009236,8606.511627906977,5178.798759282628
7,104.18181818181819,71.51532394138725,153.94117647058823,80.859485965397,104.77272727272727,71.6638527586104,154.2549019607843,80.75143172408893,7293.636363636364,5014.392186928442,10764.901960784313,5651.933606315282
8,121.6774193548387,93.20922239663277,143.88888888888889,80.44983592667502,122.16129032258064,93.04625974005029,144.44444444444446,80.44045416745648,9733.225806451614,7444.175077242956,11517.222222222223,6439.210785072282
9,126.81818181818181,82.9749414527718,145.8448275862069,82.09019466718341,127.21212121212122,82.84539726795236,146.32758620689654,82.31079056353542,11414.545454545454,7454.745590439812,13129.827586206897,7403.926054626933
10,132.90625,93.49982210609262,141.1875,80.30574017317757,133.625,93.51617075965197,141.703125,80.28415402123112,13311.25,9359.033155882247,14124.0625,8028.132028625813
11,112.8780487804878,94.7069678328768,133.08823529411765,73.5729377757796,113.1951219512195,94.60846143770522,133.64705882352942,73.62526430145549,12400.975609756097,10408.608889971332,14650.0,8098.1860876648025
12,134.4102564102564,80.58330699172129,149.13235294117646,75.0028664948263,134.94871794871796,80.54516507360415,149.5441176470588,75.01471175580726,16138.71794871795,9669.04098534329,17888.823529411766,8997.28906591077
13,112.08571428571429,85.36302114001859,139.16923076923078,80.37462465518293,112.48571428571428,85.48111983788874,139.72307692307692,80.22712051036493,14560.57142857143,11111.042187274556,18102.76923076923,10431.656673872012
14,117.0,89.30440412289128,152.13513513513513,82.22027285991922,117.60416666666667,89.28027577154974,152.47297297297297,82.20725944896137,16400.833333333332,12497.44617883621,21278.108108108107,11506.615807031114
15,147.90697674418604,84.1135326730339,130.12328767123287,73.47220661309045,148.37209302325581,84.02041227492451,130.64383561643837,73.47228688858996,22188.60465116279,12605.00535150249,19528.219178082192,11020.911731600892
16,113.92307692307692,85.2318282981938,152.56962025316454,77.61140603860903,114.53846153846153,85.17696953263363,153.0126582278481,77.47000969289725,18253.846153846152,13624.430645250459,24410.506329113923,12398.360096144868
17,144.98181818181817,91.3839054856936,134.33333333333334,82.15229759416349,145.52727272727273,91.3493202848183,134.64197530864197,82.15112729627867,24658.545454545456,15534.4013006953,22807.40740740741,13968.564688057411
18,135.59183673469389,94.75580860984789,131.725,69.23213108581552,135.9795918367347,94.75835270921115,132.1875,69.28935727545442,24393.877551020407,17047.30303893729,23712.75,12472.33708419445
19,123.8135593220339,86.18494039509399,131.71764705882353,76.39427985391158,124.23728813559322,86.2179153682692,132.08235294117648,76.44562520802207,23521.35593220339,16377.282463472668,25011.882352941175,14526.117078109579
20,144.33928571428572,94.33909375433713,141.1860465116279,74.64212840227255,144.64285714285714,94.46104123758276,141.67441860465115,74.59970696369903,28834.464285714286,18894.189960229753,28239.883720930233,14916.718018951364
21,119.38095238095238,84.10658149450163,126.0909090909091,77.06806013788675,119.74603174603175,84.12394240412108,126.64772727272727,77.08467351767837,25052.698412698413,17669.58250290405,26500.454545454544,16185.608259609595
22,136.65454545454546,90.62094806917564,134.73170731707316,79.70997564171105,137.16363636363636,90.62759853467162,135.1829268292683,79.81848668083899,30075.454545454544,19938.327302532063,29641.341463414636,17558.63452340209
23,127.0,92.97078394133648,133.23809523809524,72.08489289913648,127.42622950819673,92.90558989576344,133.63095238095238,72.15675368734725,29206.22950819672,21367.81124058135,30631.904761904763,16591.807346608293
24,109.0,86.227070530708,109.46153846153847,65.02859331646309,109.46969696969697,86.27437799467637,109.89010989010988,64.83953707241876,26162.575757575756,20705.92054391921,26260.879120879123,15559.95677288709
25,112.18181818181819,87.26580246419717,120.85057471264368,69.76780905187164,112.63636363636364,87.28620233966602,121.34482758620689,69.87444347429195,28033.636363636364,21823.51206568546,30213.908045977012,17468.8457810377
26,111.23076923076923,87.55779684563528,109.79569892473118,66.18790102555933,111.63076923076923,87.3877081657457,110.38709677419355,66.12242141895403,28899.384615384617,22719.544853834213,28578.924731182797,17193.443799913814
27,105.10169491525424,81.66472562172015,115.73913043478261,64.91073660580408,105.59322033898304,81.64433351202659,116.27173913043478,64.85217395948926,28387.28813559322,22046.3081458965,31268.260869565216,17510.241311539427
28,111.65753424657534,83.4487898817263,123.82105263157895,72.63490441451486,112.02739726027397,83.53408695502355,124.29473684210527,72.67647248494896,31233.835616438355,23388.838424801936,34668.73684210526,20349.344975714805
29,124.25373134328358,95.00547723980495,120.45454545454545,74.56339211311224,124.65671641791045,95.17090723006754,120.8080808080808,74.4589568860915,36016.26865671642,27604.70836188841,34899.393939393936,21589.248543897193
30,104.44117647058823,84.6655196611394,105.78350515463917,63.7993643522612,104.70588235294117,84.64077892729243,106.19587628865979,63.79975822434233,31278.08823529412,25398.17570469239,31722.680412371134,19139.105011917785
31,121.71621621621621,81.27789641569736,119.74193548387096,73.22833604938057,122.08108108108108,81.29681062620682,120.24731182795699,73.17246689276948,37702.16216216216,25206.146742752626,37131.50537634409,22683.117785961844
